seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
21, 20, 5, 0.02, 0.98, 21.05108755022539, 21.03427498698591
21, 30, 5, 0.013333333333333334, 0.9866666666666667, 20.40335874591384, 21.066622509975478
42, No Interference, 5, 0.05333333333333334, 0.8966666666666666, 16.58276914518227, 20.564709368973446
42, 3, 5, 0.03666666666666667, 0.95, 21.681742606590852, 21.066347166201876
42, 5, 5, 0.023333333333333334, 0.9666666666666667, 22.277759401004058, 21.12294410651394
42, 12, 5, 0.01, 0.9866666666666667, 22.79422167550132, 21.095618051212412
42, 20, 5, 0.02, 0.9766666666666667, 20.948016165438858, 20.96258340634063
42, 30, 5, 0.02666666666666667, 0.97, 20.472186638122658, 21.1394435351979
112, No Interference, 5, 0.03, 0.93, 16.405711376554283, 20.38275175669064
112, 3, 5, 0.02666666666666667, 0.97, 21.362595678953017, 21.03930878174373
112, 5, 5, 0.03, 0.9633333333333334, 22.542308765155685, 21.225526069220148
112, 12, 5, 0.02, 0.9733333333333334, 22.759003744291256, 21.246758010810563
112, 20, 5, 0.023333333333333334, 0.9733333333333334, 21.330643364766935, 21.045482222238824
112, 30, 5, 0.013333333333333334, 0.9866666666666667, 20.592576872561565, 21.156494081430882
110, No Interference, 5, 0.04, 0.9133333333333333, 17.173025341244426, 20.597307947174315
110, 3, 5, 0.03333333333333333, 0.96, 21.12392147892701, 20.93452380124713
110, 5, 5, 0.01, 0.99, 22.425705564861836, 21.194791487551566
110, 12, 5, 0.02, 0.9733333333333334, 22.90746473860058, 21.13367150936627
110, 20, 5, 0.03666666666666667, 0.9633333333333334, 21.124842929749114, 21.02448017399335
110, 30, 5, 0.02666666666666667, 0.97, 20.47605194561992, 21.063999048391484
666, No Interference, 5, 0.04, 0.9433333333333334, 16.739524507429568, 20.632040146678605
666, 3, 5, 0.03, 0.9633333333333334, 21.332204295312476, 21.03252398885878
666, 5, 5, 0.03, 0.9566666666666667, 22.240547210745444, 21.215424864396926
666, 12, 5, 0.016666666666666666, 0.9833333333333333, 22.854923802245885, 21.177799072817567
666, 20, 5, 0.02666666666666667, 0.97, 21.34594120523957, 20.97429149337913
666, 30, 5, 0.04, 0.9566666666666667, 20.39321220505015, 21.060650537289412
72, No Interference, 5, 0.03, 0.93, 16.398029459468955, 20.58020207641673
72, 3, 5, 0.04, 0.95, 21.203260286243104, 20.996730143974034
72, 5, 5, 0.03666666666666667, 0.9566666666666667, 21.95387278596312, 21.05828583410743
72, 12, 5, 0.006666666666666667, 0.99, 23.076029775487452, 21.171628405783924
72, 20, 5, 0.07, 0.93, 20.97003148833498, 21.116120941619766
72, 30, 5, 0.02, 0.9733333333333334, 20.233519705330576, 20.95860302121419
80, No Interference, 5, 0.02, 0.96, 16.80388760349248, 20.63831167810242
80, 3, 5, 0.02, 0.9766666666666667, 21.443690641547743, 21.063286189231036
